Player,Nation,Team,Position,Age,Playing Time: matches played,Playing Time: starts,Playing Time: minutes,Performance: goals,Performance: assists,Performance: yellow cards,Performance: red cards,Expected: xG,Expected: xAG,PrgC,PrgP,PrgR,Per 90 minutes: Gls,Per 90 minutes: Ast,Per 90 minutes: xG,Per 90 minutes: xAG,Goalkeeping: Performance: GA90,Goalkeeping: Performance: Save%,Goalkeeping: Performance: CS%,Goalkeeping: Penalty Kicks: Save%,Shooting: Standard: SoT%,Shooting: Standard: SoT/90,Shooting: Standard: G/Sh,Shooting: Standard: Dist,Passing: Total: Cmp,Passing: Total: Cmp%,Passing: Total: TotDist,Passing: Short: Cmp%,Passing: Medium: Cmp%,Passing: Long: Cmp%,Passing: Expected: KP,Passing: Expected: 1/3,Passing: Expected: PPA,Passing: Expected: CrsPA,Passing: Expected: PrgP,Goal and Shot Creation: SCA: SCA,Goal and Shot Creation: SCA: SCA90,Goal and Shot Creation: GCA: GCA,Goal and Shot Creation: GCA: GCA90,Defensive Actions: Tackles: Tkl,Defensive Actions: Tackles: TklW,Defensive Actions: Challenges: Att,Defensive Actions: Challenges: Lost,Defensive Actions: Blocks: Blocks,Defensive Actions: Blocks: Sh,Defensive Actions: Blocks: Pass,Defensive Actions: Blocks: Int,Possession: Touches: Touches,Possession: Touches: Def Pen,Possession: Touches: Def 3rd,Possession: Touches: Mid 3rd,Possession: Touches: Att 3rd,Possession: Touches: Att Pen,Possession: Take-Ons: Att,Possession: Take-Ons: Succ%,Possession: Take-Ons: Tkld%,Possession: Carries: Carries,Possession: Carries: PrgDist,Possession: Carries: 1/3,Possession: Carries: CPA,Possession: Carries: Mis,Possession: Carries: Dis,Possession: Receiving: Rec,Possession: Receiving: PrgR,Miscellaneous: Performance: Fls,Miscellaneous: Performance: Fld,Miscellaneous: Performance: Off,Miscellaneous: Performance: Crs,Miscellaneous: Performance: Recov,Miscellaneous: Aerial Duels: Won,Miscellaneous: Aerial Duels: Lost,Miscellaneous: Aerial Duels: Won%
Aaron Cresswell,eng ENG,West Ham,DF,35-144,15,8,676,0,0,2,0,0.1,1.1,4,28,2,0.0,0.0,0.01,0.15,N/a,N/a,N/a,N/a,0.0,0.0,0.0,29.8,415,81.5,3045,91.7,87.4,53.1,7,43,4,1,28,12,1.6,0,0.0,9,5,9,2,9,4,5,8,576,39,227,281,73,1,2,50.0,50.0,228,398,7,0,3,0,353,2,3,2,0,28,29,7,6,53.8
Aaron Ramsdale,eng ENG,Southampton,GK,26-359,27,27,2430,0,0,2,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2.30,67.1,7.4,28.6,,0.0,,,715,64.6,15538,99.5,96.2,38.6,0,33,1,0,0,3,0.11,0,0.0,0,0,2,2,0,0,0,2,1189,860,1166,26,0,0,0,,,723,2159,0,0,3,0,646,0,1,4,0,0,20,5,0,100.0
Aaron Wan-Bissaka,eng ENG,West Ham,DF,27-163,33,32,2884,2,3,1,0,1.2,3.2,101,132,150,0.06,0.09,0.04,0.1,N/a,N/a,N/a,N/a,31.3,0.16,0.13,15.1,1321,80.5,6928,89.9,81.1,46.0,30,89,32,11,132,85,2.65,8,0.25,64,45,27,7,32,9,23,60,2039,136,628,877,564,44,108,52.8,34.3,961,3383,59,13,31,21,1174,150,22,25,4,70,163,22,30,42.3
Abdoulaye Doucouré,ml MLI,Everton,MF,32-127,30,29,2425,3,1,5,1,3.9,2.3,40,78,91,0.11,0.04,0.14,0.09,N/a,N/a,N/a,N/a,31.0,0.33,0.1,13.8,676,79.6,2133,85.1,83.1,72.7,26,44,14,0,78,54,2.0,2,0.07,45,27,39,26,30,6,24,9,1090,31,218,502,385,59,43,53.5,46.5,571,1339,24,8,33,35,705,91,46,5,10,23,139,29,43,40.3
Abdukodir Khusanov,uz UZB,Manchester City,DF,21-068,6,6,503,0,0,1,0,0.0,0.1,1,25,2,0.0,0.0,0.0,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.0,23.9,360,91.1,1976,94.7,97.0,26.1,2,23,0,0,25,5,0.89,0,0.0,5,4,3,1,5,4,1,3,445,45,205,211,31,1,2,0.0,100.0,274,435,1,0,2,1,332,2,3,3,0,1,27,6,4,60.0
Abdul Fatawu Issahaku,gh GHA,Leicester City,FW,21-061,11,6,579,0,2,0,0,0.4,1.6,42,17,60,0.0,0.31,0.06,0.24,N/a,N/a,N/a,N/a,38.5,0.78,0.0,31.2,123,62.4,601,72.8,76.3,48.5,6,7,7,2,17,17,2.64,3,0.47,21,15,19,8,7,0,7,4,326,19,73,114,157,26,69,42.0,40.6,217,1055,24,15,18,12,216,60,11,20,2,30,38,14,13,51.9
Adam Armstrong,eng ENG,Southampton,FWMF,28-087,20,15,1248,2,2,4,0,3.3,1.2,25,21,79,0.14,0.14,0.24,0.09,N/a,N/a,N/a,N/a,28.0,0.5,0.08,16.6,231,80.2,446,87.3,85.3,46.2,9,10,8,2,21,19,1.37,4,0.29,12,3,14,11,6,1,5,3,377,11,44,143,192,49,14,42.9,57.1,235,599,13,6,11,18,286,79,12,5,9,14,23,5,9,35.7
Adam Lallana,eng ENG,Southampton,MF,36-363,14,5,361,0,2,4,0,0.2,0.9,6,24,10,0.0,0.5,0.04,0.23,N/a,N/a,N/a,N/a,0.0,0.0,0.0,18.1,221,85.0,980,89.1,91.0,44.4,4,21,9,3,24,9,2.24,2,0.5,8,5,12,10,4,1,3,5,318,19,91,155,73,6,12,41.7,41.7,178,366,8,0,10,6,245,10,8,8,0,4,19,2,2,50.0
Adam Smith,eng ENG,Bournemouth,DF,34-009,22,17,1409,0,0,6,0,0.7,0.3,12,40,31,0.0,0.0,0.04,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.0,16.9,436,75.7,2372,88.0,78.1,37.5,7,41,8,5,40,20,1.28,2,0.13,21,10,25,13,12,5,7,14,707,39,217,332,162,6,15,40.0,40.0,305,585,15,0,10,6,333,31,15,11,0,30,43,12,13,48.0
Adam Webster,eng ENG,Brighton,DF,30-124,11,8,617,0,0,0,0,0.0,0.5,7,40,2,0.0,0.0,0.0,0.07,N/a,N/a,N/a,N/a,100.0,0.15,0.0,15.3,429,85.6,3140,95.5,91.8,50.6,3,32,2,0,40,10,1.46,3,0.44,8,5,11,6,12,9,3,14,569,84,279,271,22,8,3,33.3,66.7,326,1142,2,0,3,1,384,2,5,2,1,1,20,17,4,81.0
