Player,Team,Age,Position,TransferValue_EUR_Millions,Highest_ETV_EUR_Millions
Erling Haaland,Man City,24,FW,198.8,199.6
Martin Ødegaard,Arsenal,26,MF,126.5,134.5
Alexander Isak,Newcastle Utd.,25,FW,120.3,120.3
Cole Palmer,Chelsea,23,MF,115.4,119.0
Declan Rice,Arsenal,26,MF,107.8,120.0
Alexis Mac Allister,Liverpool,26,MF,106.1,117.0
Phil Foden,Man City,24,MFFW,105.7,138.6
Bukayo Saka,Arsenal,23,FWMF,101.3,127.5
Rodri,Man City,28,,87.0,102.4
Ryan Gravenberch,Liverpool,22,MF,85.3,85.5
Bruno Guimarães,Newcastle Utd.,27,MF,83.2,83.2
Moisés Caicedo,Chelsea,23,MFDF,80.7,86.1
William Saliba,Arsenal,24,DF,79.5,79.5
Omar Marmoush,Man City,26,FWMF,79.1,79.1
Joško Gvardiol,Man City,23,DF,78.7,86.6
Gabriel Magalhães,Arsenal,27,DF,75.5,75.5
Sávio,Man City,21,FWMF,74.8,74.8
Ethan Nwaneri,Arsenal,18,,74.3,74.3
Enzo Fernández,Chelsea,24,MF,73.7,82.7
Dominik Szoboszlai,Liverpool,24,MF,71.4,71.4
Brennan Johnson,Tottenham,23,FW,71.3,71.3
Lucas Paquetá,West Ham United,27,MFFW,71.2,71.2
Leny Yoro,Man Utd,19,DF,71.0,71.0
Luis Díaz,Liverpool,28,FW,71.0,78.5
Kai Havertz,Arsenal,25,FWMF,70.5,98.6
Morgan Rogers,Aston Villa,23,FWMF,69.0,79.6
Murillo,Nottingham,22,DF,68.4,68.4
Cody Gakpo,Liverpool,26,FW,67.5,72.2
Nicolas Jackson,Chelsea,23,FW,66.2,71.8
Jérémy Doku,Man City,22,FWMF,66.2,66.5
Kobbie Mainoo,Man Utd,20,MF,66.0,66.0
Jurrien Timber,Arsenal,23,DF,65.5,65.5
Rico Lewis,Man City,20,DFMF,62.7,63.8
Matheus Cunha,Wolverhampton,25,MFFW,62.6,62.6
Gabriel Martinelli,Arsenal,23,FWMF,62.6,70.1
Eberechi Eze,C. Palace,26,MFFW,62.2,62.2
Amadou Onana,Aston Villa,23,MF,62.1,62.1
Micky van de Ven,Tottenham,24,DF,61.8,62.0
Mohammed Kudus,West Ham United,24,FWMF,61.7,63.8
Morgan Gibbs-White,Nottingham,25,MF,61.7,61.7
Curtis Jones,Liverpool,24,MFDF,61.7,61.7
Miloš Kerkez,B'mouth,21,DF,61.5,61.6
Ollie Watkins,Aston Villa,29,FW,61.4,65.8
João Pedro,Brighton,23,FWMF,61.3,62.5
Darwin Núñez,Liverpool,25,FW,60.9,67.5
Alejandro Garnacho,Man Utd,20,MFFW,60.7,66.5
Pedro Neto,Chelsea,25,FW,60.6,62.0
Dejan Kulusevski,Tottenham,25,MFFW,60.5,72.0
Manuel Ugarte,Man Utd,24,,60.4,60.5
Cristian Romero,Tottenham,27,DF,60.1,73.4
Destiny Udogie,Tottenham,22,DF,59.4,60.6
Ben White,Arsenal,27,DF,58.8,77.2
Illia Zabarnyi,B'mouth,22,DF,58.8,58.8
Diogo Jota,Liverpool,28,FW,58.6,74.6
Rúben Dias,Man City,27,DF,58.5,83.2
Archie Gray,Tottenham,19,DFMF,58.2,72.5
James Maddison,Tottenham,28,MF,58.1,63.7
Ibrahima Konaté,Liverpool,25,DF,57.2,57.2
Bryan Mbeumo,Brentford,25,FW,57.2,62.5
Levi Colwill,Chelsea,22,DF,56.6,60.0
Mathys Tel,Tottenham,20,,56.4,56.4
Pedro Porro,Tottenham,25,DF,55.9,55.9
Trent Alexander-Arnold,Liverpool,26,DF,55.8,103.5
Dean Huijsen,B'mouth,20,DF,55.0,56.3
Rasmus Winther Højlund,Man Utd,22,,54.9,68.3
Bruno Fernandes,Man Utd,30,MF,54.8,87.7
Roméo Lavia,Chelsea,21,,54.6,54.6
Marc Guéhi,C. Palace,24,DF,54.2,54.2
Marcus Rashford,Aston Villa,27,FWMF,53.6,82.7
Sandro Tonali,Newcastle Utd.,25,MF,52.9,71.2
Sven Botman,Newcastle Utd.,25,,52.7,52.7
Carlos Baleba,Brighton,21,MF,52.4,52.4
Matthijs de Ligt,Man Utd,25,DF,52.2,80.3
Dominic Solanke,Tottenham,27,FW,52.1,57.9
Christopher Nkunku,Chelsea,27,FW,51.7,51.7
Noni Madueke,Chelsea,23,FW,51.6,52.5
João Gomes,Wolverhampton,24,MF,51.1,51.1
Pape Matar Sarr,Tottenham,22,MF,50.8,54.1
Kaoru Mitoma,Brighton,27,FWMF,50.6,50.6
Bernardo Silva,Man City,30,MFFW,50.0,81.0
Anthony Gordon,Newcastle Utd.,24,FW,49.5,52.4
Riccardo Calafiori,Arsenal,22,DF,49.3,53.9
Lisandro Martínez,Man Utd,27,DF,49.2,61.2
Adam Wharton,C. Palace,21,MF,48.9,49.3
Evan Ferguson,West Ham United,20,,48.5,55.7
Harvey Elliott,Liverpool,22,,48.5,48.5
Amad Diallo,Man Utd,22,FWMF,48.5,48.5
Nico González,Man City,23,,48.4,48.4
Abdukodir Khusanov,Man City,21,,48.4,48.4
Jarrod Bowen,West Ham United,28,FWMF,48.1,67.1
Antoine Semenyo,B'mouth,25,FW,47.7,47.7
Joelinton,Newcastle Utd.,28,MFFW,47.5,47.5
Elliot Anderson,Nottingham,22,MF,46.5,46.5
Antonee Robinson,Fulham,27,DF,46.4,46.4
Boubacar Kamara,Aston Villa,25,MF,46.3,59.0
Jacob Ramsey,Aston Villa,23,FWMF,45.8,46.2
Gabriel Jesus,Arsenal,28,,45.6,93.2
Anthony Elanga,Nottingham,23,FWMF,45.5,45.6
Pau Torres,Aston Villa,28,DF,45.3,51.8
